label,team1,team2,seed,winner,end_reason,duration_secs
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,1,team1,kill,72.03
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,2,team1,kill,57.58
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,3,team1,kill,69.88
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,4,team2,kill,61.83
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,5,team1,kill,66.43
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,6,team1,kill,56.22
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,7,team1,kill,48.12
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,8,team1,kill,56.40
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,9,team1,kill,63.73
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,10,team1,kill,49.62
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,11,team1,kill,69.88
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,12,team1,kill,68.20
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,13,team1,kill,88.72
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,14,team1,kill,56.38
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,15,team1,kill,52.60
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,16,team1,kill,77.49
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,17,team1,kill,56.20
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,18,team1,kill,69.18
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,19,team1,kill,56.12
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,20,team1,kill,73.62
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,21,team1,kill,65.90
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,22,team1,kill,56.42
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,23,team1,kill,56.45
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,24,team1,kill,53.63
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,25,team1,kill,51.65
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,26,team1,kill,68.85
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,27,team1,kill,53.87
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,28,team1,kill,71.20
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,29,team1,kill,57.82
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,30,team1,kill,58.90
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,31,team1,kill,58.90
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,32,team1,kill,56.58
